PowerShell,xWindowsEventForwarding,NULL,True,21351939
TrueCommerce,vscode-xml,NULL,True,30902660
caiogondim,logdown.js,NULL,True,41674319
dita-ot,dita-ot,NULL,True,6286
rails,activeresource,NULL,True,5016
airbnb,airflow,NULL,True,20886510
github,generator-hubot,NULL,True,12739828
rasika,product-iots,34315616,True,44357515
ruwany,product-iots,34315616,True,46425057
OpcaoTelecom,librenms,6103078,True,37572333
nteract,nteract,NULL,True,32030755
BeanSeed,BeanSeed.github.io,NULL,True,75692738
vmora,QGIS,5389187,True,12404788
ricardogsilva,QGIS,5389187,True,28775638
cdinger,oracle-enhanced,5955,True,482227
tkh44,emotion,NULL,True,65750220
ssbc,secret-stack,NULL,True,22558108
ATLauncher,Discord-Bot,NULL,True,47452346
WeblateOrg,wlc,NULL,True,40906866
terrycain,razer_drivers,30911815,True,30779485
Byte-666,xWebAdministration,18842708,True,76001757
MessageKit,MessageKit,NULL,True,37106414
qgis,QGIS,NULL,True,5389187
varashellov,Prebid.js,22050458,True,70762526
Frodox,buildbot,23052,True,52644499
SpreeGorilla,Prebid.js,22050458,True,73296613
dabutvin,ImgBot,NULL,True,72925291
jdfreder,nteract,32030755,True,35020458
rpottsoh,xdelphi,55862030,True,55955668
securestate,king-phisher-plugins,NULL,True,35976900
sotayamashita,atom,9626183,True,65876639
sjackman,homebrew,34394900,True,414827
IntellectualSites,PlotSquared,NULL,True,22053622
PowerShell,xInternetExplorerHomePage,NULL,True,18842674
salesforce-ux,design-system-starter-kit,NULL,True,37607818
wsmelton,dbatools,26311060,True,42925369
envoyproxy,envoy,NULL,True,74717642
gserra-olx,homebrew-core,32902832,True,63811919
madhuracj,sql-parser,32020503,True,22181986
Chewbotcca,IRC,NULL,True,77217941
SUPERCILEX,Robot-Scouter,NULL,True,45985217
SUSE,Portus,NULL,True,18722109
mikey-harper,mikey-harper.github.io,NULL,False,61573993
jgrocha,QGIS,5389187,True,54476345
simongdavies,azure-quickstart-templates,19189656,True,19398918
Pr0Ger,PyAPNs2,NULL,True,32027085
fireblock,go-ethereum,7115486,True,71617642
unitejs,engine,NULL,True,71494194
tjschuck,rails,1334,True,3585914
CocoaPods,cocoadocs.org,NULL,True,3343304
Envek,rails,1334,True,10762055
michel-kraemer,gradle-download-task,NULL,True,5562763
jef-n,QGIS,5389187,True,7897365
Edouard-chin,rails,1334,True,30567257
Vasfed,rails,1334,True,1048763
rails,rails,NULL,True,1334
blazek,QGIS,5389187,True,7897367
eGust,epub-reader,NULL,True,54261488
r39132,airflow,20886510,True,30904438
ykuijs,xSharePoint,19403199,True,28986019
Automattic,wp-calypso,NULL,True,29067220
tomkralidis,QGIS,5389187,True,42028498
micro-a5k,microg-unofficial-installer,NULL,True,69239738
tejasbubane,xecmascript,9859721,True,52049300
Gustry,QGIS,5389187,True,10209833
Linuxbrew,brew,NULL,True,35256269
physycom,QGIS,5389187,True,55117506
idehub,react-native-billing,NULL,True,31036150
wind0r,betaflight,38829050,True,48305893
NaturalGIS,naturalgis_qgis,5389187,True,65832398
snahor,xsml,13707302,True,47777188
muan,hello-world,NULL,True,17653967
ToroCraft,ToroQuest,NULL,True,45386041
cbauerme,sequelize,2989453,True,30540689
facebook,fresco,NULL,True,18004957
rldhont,Quantum-GIS,12316,True,940057
ToroCraft,NemesisSystem,NULL,True,67688742
obiba,opal,NULL,True,1443919
Belval,pdf2image,NULL,True,77469788
fanglingsu,vimb,NULL,True,3196495
kevinrenaers,atom,9626183,True,53996674
esparta,rails,1334,True,40235416
avto-dev,static-references-laravel,NULL,True,77923305
Homebrew,homebrew-core,NULL,True,32902832
hali9,inav,30387321,True,55918908
Fokko,incubator-airflow,34870181,True,38485076
DieHertz,betaflight,38829050,True,51680992
kywk,hexi,NULL,True,5266990
Pipeoverflow,website,NULL,True,78475094
palantir,gradle-baseline,NULL,True,23680780
Jasig,cas,NULL,True,9459
hasuniea,carbon-device-mgt,16105165,True,24063008
travis-ci,dpl,NULL,True,5495407
myntra,react-native,17991525,True,26231714
timgrossmann,InstaPy,NULL,True,46650238
PowerShell,xSmbShare,NULL,True,18842694
donovanwatts,donovanwatts.github.io,NULL,True,63079271
exercism,xjavascript,NULL,True,8265527
sikmir,QGIS,5389187,True,53424974
CHEF-KOCH,regtweaks,NULL,True,24494898
chentsulin,electron-react-boilerplate,NULL,True,20161965
ttanimichi,rails,1334,True,50676420
CartoDB,cartodb,NULL,True,4524570
njleonzhang,vue-data-tables,NULL,True,52902568
ssbc,ssb-ref,NULL,True,21877267
EmergingTechnologyAdvisors,node-serialport,NULL,True,37267557
StarExec,code-prettify,NULL,True,71800735
feross,webtorrent-desktop,NULL,True,34144386
ledestin,rails,1334,True,67361834
jevakallio,react-native,17991525,True,22130076
Glavin001,atom-beautify,NULL,True,10250990
yoshuawuyts,bankai,NULL,True,30208385
4712betaflight,betaflight,28138276,True,28773453
mwarkentin,django-watchman,NULL,True,7887252
chrisohaver,coredns,35885949,True,44196275
dsXLII,homebrew-core,32902832,True,34414727
firefly-iii,firefly-iii,NULL,True,53848459
mbcoguno,homebrew-core,6866209,True,1376391
avtocod,b2b-api-php-laravel,NULL,True,77363646
typo3-themes,themes_showcase,NULL,True,18042627
BrainFPV,betaflight,38829050,True,48829315
yongtang,coredns,33725039,True,43870382
zoisom,tldr,9286541,True,73641870
PowerShell,xFailOverCluster,NULL,True,18842670
mathieujobin,reduced-rails-for-travis,NULL,True,72314472
milanperera,carbon-device-mgt-plugins,16105183,True,19459915
riga,luigi,896266,True,26249382
zeroSteiner,king-phisher,7230307,True,23057218
fmv1992,python-mode,4742,True,51022753
slashdoom,librenms,6103078,True,58549193
drazisil,dashboard-zero,20057512,True,29275259
martin227,martin227.github.io,3828093,True,76129252
klamping,webdriverio,11036506,True,27446194
ethereum,go-ethereum,NULL,True,7115486
GeoDienstenCentrum,sass-maven-plugin,159178,True,13587949
pamil,Sylius,174642,True,7083033
openrazer,openrazer,NULL,True,43013976
CHEF-KOCH,CryptoNews,NULL,True,29752016
PlagueHO,FSRMDsc,NULL,True,42090704
nspragg,filehound,NULL,True,33071971
Laravel-Backpack,Generators,NULL,True,33284780
gpu0,gpu0.github.io,NULL,True,35479133
robotechredmond,azure-quickstart-templates,19189656,True,28114469
zooniverse,Panoptes,NULL,True,9762583
Laravel-Backpack,permissionmanager,NULL,True,37135001
paoloambrosio,cucumber-jvm,48764,True,1811741
sverweij,dependency-cruiser,NULL,True,51173489
parksw3,parksw3.github.io,NULL,True,46380072
ezecosystem,Sylius,174642,True,53769712
askmike,gekko,NULL,True,3690496
pholleran-org,probot,59442440,True,65941590
bogdanvlviv,rails,1334,True,19833674
phingofficial,phing,NULL,True,15241
mgrimes,brew,33135287,False,38556491
ssbc,patchwork,NULL,True,22071728
si618,betaflight,38829050,True,42010704
mikesplain,openvas-docker,NULL,True,8666082
KeyboardNerd,clair,28774507,True,63747370
