A;owner;project_name;days_until_stale;days_until_close;stale_label
6;ZoneMinder;ZoneMinder; 60; 7; stale
4;WoLpH;numpy-stl; 60; 7; no
4;WoLpH;numpy-stl; 60; 7; no
8;WoLpH;numpy-stl; 60; 7; no
6;WoLpH;numpy-stl; 60; 7; no
5;raphael;goa; 60; 7; wontfix
2;raphael;goa; 60; 7; wontfix
4;KevinKelley;KevinKelley.github.io; 60; 7; wontfix
1;apache;incubator-airflow; 90; 7; stale
4;apache;incubator-airflow; 60; 7; stale
9;apache;incubator-airflow; 45; 7; stale
7;pathawks;jekyll-commonmark; 60; 7; wontfix
9;kura;pelican_vimeo;;;
3;exercism;xlua; 60; 7; wontfix
5;nozzle;react-static; 30; 7; stale
6;serverspec;serverspec; 60; 7; wontfix
3;SebastianM;angular-google-maps; 90; 7; stale
3;clostra;dcdn; 60; 7; wontfix
7;clostra;dcdn; 60; 7; wontfix
8;request;request; 365; 7; stale
3;request;request; 365; 7; stale
4;request;request; 365; 7; stale
9;request;request; 365; 7; stale
0;request;request; 365; 7; stale
4;buildbot;buildbot; 60; 7; stalled
4;buildbot;buildbot; 60; 7; stalled
4;buildbot;buildbot; 60; 67; stalled
2;buildbot;buildbot; 60; 67; stalled
2;auth0;auth0-logs-to-loggly;;;
8;howdyai;botkit; 60; 7; stale
8;howdyai;botkit; 60; 7; stale
6;howdyai;botkit; 60; 7; stale
4;wso2-dev;product-device-cloud; 10; 5; Resolution
0;wso2-dev;product-device-cloud; 10; 5; Resolution
4;wso2-dev;product-device-cloud; 10; 5; Resolution
3;wso2-dev;product-device-cloud; 10; 5; Resolution
3;wso2-dev;product-device-cloud; 10; 5; Resolution
5;wso2-dev;product-device-cloud; 10;; Resolution
4;wso2-dev;product-device-cloud; 10;; Resolution
6;PowerShell;xPendingReboot; 14; 40; abandoned
1;apereo;cas; 14; 7; Pending
7;apereo;cas; 14; 7; Pending
1;apereo;cas; 14; 7; Pending
5;apereo;cas; 7; 7; Pending
2;apereo;cas; 7; 7; Pending
7;apereo;cas; 7; 7; Pending
5;apereo;cas; 5; 5; Pending
9;samvera;hyrax; 30; 7; stale
3;samvera;hyrax; 30; 14; stale
1;samvera;hyrax; 30; 14; stale
9;samvera;hyrax; 30; 14; stale
2;samvera;hyrax; 30; 14; stale
4;nicolaiarocci;eve-swagger; 180;; stale
8;timedreamer;timedreamer.github.io; 30; 7;
