"owner","name","stars","forks"
"phille97","phille97.github.io",0,0
"thomaspark","bootswatch",11092,3106
"merencia","node-cron",789,83
"tony","libtmux",406,46
"bolt","bolt",3871,797
"less","less.js",15938,3444
"justwatchcom","gopass",2455,211
"cmusatyalab","openface",11704,2832
"nijel","weblate-docker",35,58
"techfort","LokiJS",4693,372
"CHEF-KOCH","ProjectX",38,15
"indrekots","indrekots.github.io",0,0
"ssbc","ssb-markdown",7,8
"GeoDienstenCentrum","closure-compiler-maven-plugin",3,1
"rs","SDWebImage",21139,5346
"csirtgadgets","bearded-avenger-sdk-py",4,10
"ashfurrow","Moya",10301,1194
"cleanflight","cleanflight-configurator",274,255
"okonet","react-dropzone",5498,541
"feross","webtorrent-app",6018,693
"feathersjs","feathers-mubsub",145,24
"unitejs","core",1,1
"martincostello","browserstack-automate",5,3
"istio","istio",15943,2547
"sinonjs","lolex",401,56
"benbalter","jekyll-style-guide",48,16
"zulu-zsh","zulu",102,11
"mtsmfm","railstest",0,0
"cucumber","cucumber-jvm",1866,1598
"nijel","weblate",0,1
"voodootikigod","node-serialport",3836,794
"Caged","d3-tip",1112,338
"emotion-js","emotion",7231,436
"stephentuso","welcome-android",1600,280
"bpicode","fritzctl",41,9
"mattlewis92","angular2-calendar",1468,473
"equinusocio","vsc-material-theme",939,79
"ankane","chartkick",5083,489
"benbalter","wp-document-revisions",128,37
"ssbc","muxrpc",70,8
"pmviva","bookmark_system",5,1
"PowerShell","xSQLServer",192,161
"wso2","carbon-device-mgt",15,119
"PlagueHO","cFSRM",6,0
"ceolter","angular-grid",4823,800
"WeblateOrg","weblate",1348,364
"restify","node-restify",9100,928
"Homebrew","homebrew-command-not-found",163,20
"mattlewis92","angular-calendar",1468,473
"apis-is","apis",130,58
"auth0-extensions","auth0-github-deploy",10,16
"obiba","onyx-instruments",0,2
"GetStream","Winds",6546,435
"LinioIT","spreadsheet-parser",7,2
"luispadron","UICircularProgressRing",967,170
"nightwatchjs","nightwatch",9015,872
"VulcanJS","Vulcan",7369,2035
"optonaut","ActiveLabel.swift",2789,379
"PowerShell","xWindowsUpdate",54,25
"PowerShell","xSharePoint",172,92
"violetaria","violetaria.github.io",0,0
"PowerShell","xDSCResourceDesigner",13,16
"andreipitis","ASPCircleChart",6,1
"pages-themes","minimal",354,866
"Semantic-Org","Semantic-UI",44713,4764
"feathersjs","feathers-service-tests",21,7
"miekg","coredns",3656,583
"ATLauncher","Backend-NEXT",3,3
"aloisklink","aloisklink.github.io",0,0
"goadesign","goa",3300,364
"vuematerial","vue-material",7650,923
"gatsbyjs","gatsby",32472,4445
"cerner","beadledom",19,25
"feathersjs","feathers-mongoose",119,72
"bkeepers","PRobot",4351,411
"mcollina","fastify",9855,585
"martincostello","sqllocaldb",92,28
"wangjordy","wangjordy.github.io",0,0
"feathersjs","feathers-knex",58,44
"PowerShell","xWebAdministration",107,111
"exercism","xpascal",15,17
"choojs","bankai",997,81
"msiemens","tinydb",2716,267
"rosekaron","rosekaron.github.io",0,0
"awslabs","aws-sdk-ios-samples",832,712
"auth0-extensions","auth0-box-platform-extension",3,4
"dawson-org","dawson-cli",727,25
"PowerShell","xPhp",3,7
"stoelzle","pdfify-alfred",1,0
"javascript-obfuscator","javascript-obfuscator",2445,320
"wysiwygjs","wysiwyg.js",464,134
"Homebrew","homebrew-services",1199,92
"PowerShell","xWindowsRestore",2,4
"tbsexton","tbsexton.github.io",0,0
"ljvmiranda921","pyswarms",328,114
"PowerShell","xSCVMM",7,12
"apollostack","react-apollo",4684,577
"Eugeny","terminus",5840,196
"McJty","RFToolsDimensions",29,10
"bkimminich","z85-cli",1,0
"ParsePlatform","Parse-SDK-iOS-OSX",2640,799
"bkimminich","juice-shop-ctf",124,24
"PowerShell","DscResource.Tests",41,40
"dresden-elektronik","deconz-rest-plugin",418,88
"soscripted","sox",38,7
"node-nock","nock",7707,549
"martincostello","alexa-london-travel-site",5,3
"danielcaldas","react-d3-graph",154,59
"excon","excon.github.io",0,0
"goreleaser","goreleaser",3823,238
"awslabs","aws-sdk-android-samples",719,850
"serverspec","specinfra",264,330
"FogPress","docker-alpine",0,0
"tangming2008","tangming2008.github.io",0,0
"feathersjs","feathers-logger",23,2
"mati75","vimb",1,0
"cesarferreira","alfi",487,70
"gorilla","mux",8300,959
"nijel","wlc",5,3
"marcosmoura","vue-material",7650,923
"CHEF-KOCH","FFCK",16,3
"angular-ui","ui-grid",5247,2582
"education","classroom",985,325
"LinioIT","input",34,10
"serverdensity","sd-agent-core-plugins",4,4
"jpadilla","ember-cli-simple-auth-token",339,130
"feathersjs","feathers-mongodb",74,21
"jaredpalmer","razzle",6436,532
"poldracklab","preprocessing-workflow",180,117
"ToroCraft","Minecoprocessors",15,6
"spotify","helios",1977,231
"rpottsoh","exercism-delphi",0,1
"cesarferreira","dryrun",3668,280
"eventespresso","eea-payment-methods-pro",0,1
"hassio-addons","build-env",4,2
"savonrb","savon",1857,550
"securestate","king-phisher",823,250
"WildGums","Orc.Sort",11,6
"brchristian","rails",0,0
"wso2-incubator","product-device-cloud",89,150
"Samfox2","homebridge-domotiga",6,4
"Mirantis","virtlet",432,74
"auth0-extensions","auth0-extension-ui",1,5
"react-dropzone","react-dropzone",5498,541
"jaredpalmer","react-production-starter",6436,532
"PowerShell","xPSDesiredStateConfiguration",106,112
"ssbc","ssb-feed",14,3
"exercism","xerlang",73,60
"PowerShell","xWebDeploy",6,15
"tarampampam","nod32-update-mirror",83,43
"pattern-lab","patternlab-node",1363,330
"PowerShell","xAzure",7,10
"ceolter","ag-grid",4823,800
"iberianpig","fusuma",884,44
"rackerlabs","django-DefectDojo",700,309
"CatenaLogic","RepositoryCleaner",5,5
"feathersjs","feathers-nedb",54,12
"kura","eevee",24,3
"mattlewis92","angular-bootstrap-calendar",810,368
"PowerShell","xNetworking",90,74
"devopsdays","devopsdays-cli",1,1
"kura","yarg",18,3
"mhbu50","frappe",0,0
"cucumber","cucumber-ruby-core",29,46
"exercism","xlisp",46,34
"benbalter","jekyll-titles-from-headings",42,16
"directus","directus",4105,421
"prakhar1989","react-tags",786,356
"airsonic","airsonic",704,105
"fog","fog-core",40,78
"PowerShell","xDnsServer",28,46
"ktsaou","netdata",54,13
"obiba","onyx",7,13
"andrewedstrom","andrewedstrom.github.io",1,1
"spf13","hugoThemes",979,188
"coliff","caniuse.email",50,1
"iNavFlight","LuaTelemetry",44,11
"PlagueHO","xFSRM",6,0
"arendst","Sonoff-Tasmota",6129,1419
"makaroniame","makaroniame.github.io",0,1
"PowerShell","xJea",13,8
"exercism","xelixir",311,174
"rsv1925","rsv1925.github.io",0,0
"PowerShell","xSCSR",2,3
"betaflight","docker-betaflight-build",22,17
"saltstack","salt",9720,4504
"dogo","SCLAlertView",3263,483
"strongloop","loopback-getting-started-intermediate",60,52
"PowerShell","xSafeHarbor",2,3
"jquery-validation","jquery-validation",9301,2666
"excon","excon",923,226
