TrueCommerce,vscode-xml,https://github.com/TrueCommerce/vscode-xml.git
caiogondim,logdown.js,https://github.com/caiogondim/logdown.js.git
dita-ot,dita-ot,https://github.com/dita-ot/dita-ot.git
rails,activeresource,https://github.com/rails/activeresource.git
airbnb,airflow,https://github.com/airbnb/airflow.git
github,generator-hubot,https://github.com/github/generator-hubot.git
nteract,nteract,https://github.com/nteract/nteract.git
BeanSeed,BeanSeed.github.io,https://github.com/BeanSeed/BeanSeed.github.io.git
tkh44,emotion,https://github.com/tkh44/emotion.git
ssbc,secret-stack,https://github.com/ssbc/secret-stack.git
ATLauncher,Discord-Bot,https://github.com/ATLauncher/Discord-Bot.git
WeblateOrg,wlc,https://github.com/WeblateOrg/wlc.git
MessageKit,MessageKit,https://github.com/MessageKit/MessageKit.git
qgis,QGIS,https://github.com/qgis/QGIS.git
dabutvin,ImgBot,https://github.com/dabutvin/ImgBot.git
securestate,king-phisher-plugins,https://github.com/securestate/king-phisher-plugins.git
IntellectualSites,PlotSquared,https://github.com/IntellectualSites/PlotSquared.git
PowerShell,xInternetExplorerHomePage,https://github.com/PowerShell/xInternetExplorerHomePage.git
salesforce-ux,design-system-starter-kit,https://github.com/salesforce-ux/design-system-starter-kit.git
envoyproxy,envoy,https://github.com/envoyproxy/envoy.git
Chewbotcca,IRC,https://github.com/Chewbotcca/IRC.git
SUPERCILEX,Robot-Scouter,https://github.com/SUPERCILEX/Robot-Scouter.git
SUSE,Portus,https://github.com/SUSE/Portus.git
Pr0Ger,PyAPNs2,https://github.com/Pr0Ger/PyAPNs2.git
unitejs,engine,https://github.com/unitejs/engine.git
CocoaPods,cocoadocs.org,https://github.com/CocoaPods/cocoadocs.org.git
michel-kraemer,gradle-download-task,https://github.com/michel-kraemer/gradle-download-task.git
rails,rails,https://github.com/rails/rails.git
eGust,epub-reader,https://github.com/eGust/epub-reader.git
Automattic,wp-calypso,https://github.com/Automattic/wp-calypso.git
micro-a5k,microg-unofficial-installer,https://github.com/micro-a5k/microg-unofficial-installer.git
Linuxbrew,brew,https://github.com/Linuxbrew/brew.git
idehub,react-native-billing,https://github.com/idehub/react-native-billing.git
muan,hello-world,https://github.com/muan/hello-world.git
ToroCraft,ToroQuest,https://github.com/ToroCraft/ToroQuest.git
facebook,fresco,https://github.com/facebook/fresco.git
ToroCraft,NemesisSystem,https://github.com/ToroCraft/NemesisSystem.git
obiba,opal,https://github.com/obiba/opal.git
Belval,pdf2image,https://github.com/Belval/pdf2image.git
