A;owner;project_name;exempt_labels
1;Homebrew;homebrew-bundle;['gsoc-outreachy', 'help wanted', 'in progress']
0;Homebrew;homebrew-bundle;['gsoc-outreachy', 'help wanted', 'in progress']
2;PowerShell;xRobocopy;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
6;babel;babel-preset-env;['has pr', 'pinned', 'security']
1;SVProgressHUD;SVProgressHUD;['investigating', 'bug', 'enhancement']
1;ssbc;ssb-search;['pinned', 'security']
4;ocadotechnology;aimmo;
4;Laravel-Backpack;base;['pinned', 'security', 'feature', 'urgent', 'ready', 'working on it', 'bug']
1;Laravel-Backpack;base;['pinned', 'security', 'feature', 'urgent', 'ready', 'working on it', 'bug']
1;Laravel-Backpack;base;['pinned', 'security', 'feature', 'urgent', 'ready', 'working on it', 'bug']
3;Laravel-Backpack;base;['pinned', 'security', 'feature', 'urgent', 'ready', 'working on it', 'bug']
7;auth0-extensions;auth0-user-invite-extension;
7;crewjam;saml;['pinned', 'security']
5;ssbc;ssb-names;['pinned', 'security']
5;ssbc;ssb-names;['pinned', 'security']
5;prebid;Prebid.js;['pinned', 'security', 'bug']
6;prebid;Prebid.js;['pinned', 'security', 'bug', 'feature']
6;PowerShell;DscResources;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'on hold', 'new module submission', 'module proposal']
7;PowerShell;DscResources;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'on hold', 'new module submission', 'module proposal']
7;PowerShell;DscResources;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'on hold', 'new module submission', 'module proposal']
9;PowerShell;DscResources;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'on hold', 'new module submission', 'module proposal']
2;feross;standard;['accepted', 'bug', 'enhancement']
2;feross;standard;['accepted', 'bug', 'enhancement']
0;feross;standard;['accepted', 'bug', 'enhancement', 'meta']
1;imolorhe;altair;['pinned', 'security']
9;imolorhe;altair;['pinned', 'security']
9;imolorhe;altair;['pinned', 'security']
9;imolorhe;altair;['pinned', 'security']
0;AdmiringWorm;Faker.NET.Portable;
3;AdmiringWorm;Faker.NET.Portable;
5;basecamp;trix;['bug', 'pinned', 'security', 'WIP']
8;probot;stale;
3;probot;stale;
9;ssbc;ssb-testnet;['pinned', 'security']
4;moonlight-stream;moonlight-android;['accepted', 'bug', 'enhancement', 'meta']
9;lesserwhirls;lesserwhirls.github.io;['pinned', 'security']
1;lesserwhirls;lesserwhirls.github.io;['pinned', 'security']
6;lesserwhirls;lesserwhirls.github.io;
6;lesserwhirls;lesserwhirls.github.io;
2;lesserwhirls;lesserwhirls.github.io;
3;lesserwhirls;lesserwhirls.github.io;
